Наименование вакансии	Зарплата	Наличие тестового задания	Дата публикации	Организация	URL-ссылка
Аналитик/начинающий специалист	40000-None	Нет	03.03.2024	КИК	https://hh.ru/vacancy/94012897
Стажер-аналитик	None-45000	Нет	02.03.2024	Крит	https://hh.ru/vacancy/93739452
Бизнес-аналитик (стажер)	25000-25000	Нет	03.03.2024	Лента, федеральная розничная сеть	https://hh.ru/vacancy/94049527
Аналитик	48000-48000	Нет	01.03.2024	Работут	https://hh.ru/vacancy/94115301
Маркетолог-аналитик	90000-110000	Нет	01.03.2024	Элком	https://hh.ru/vacancy/94119623
Стажер-аналитик	40000-70000	Нет	29.02.2024	Суши Wok	https://hh.ru/vacancy/92400276
Аналитик (начинающий специалист)	50850-None	Нет	01.03.2024	САТУРН - строительные материалы	https://hh.ru/vacancy/88982565
Младший бизнес-аналитик	None	Нет	03.03.2024	Точка Качества	https://hh.ru/vacancy/91293730
Бизнес-аналитик	100000-150000	Нет	02.03.2024	CAPYBARA IT AGENCY	https://hh.ru/vacancy/93136232
Аналитик данных (стажер)	None	Да	02.03.2024	Lesta Games	https://hh.ru/vacancy/92831248
Бизнес-аналитик (стажер)	None	Нет	27.02.2024	Aston	https://hh.ru/vacancy/93886433
Стажер-аналитик 1С	None	Нет	03.03.2024	ПитерСофт	https://hh.ru/vacancy/91855132
Младший бизнес-аналитик	None	Нет	26.02.2024	SGS Vostok Limited	https://hh.ru/vacancy/93256238
Финансовый аналитик	80000-None	Нет	03.03.2024	iSpot	https://hh.ru/vacancy/94049696
Бизнес-аналитик	50000-None	Нет	26.02.2024	АКМЭ сервис	https://hh.ru/vacancy/92149517
Аналитик	None	Нет	01.03.2024	МФ Тариф	https://hh.ru/vacancy/92821874
Бизнес-аналитик	50000-None	Нет	26.02.2024	АКМЭ сервис	https://hh.ru/vacancy/91565025
Аналитик-стажер	40000-70000	Нет	19.02.2024	Сакура	https://hh.ru/vacancy/92400712
Аналитик департамента управления товаром	60000-90000	Нет	19.02.2024	oodji	https://hh.ru/vacancy/90036154
Стажер-аналитик (Модель данных ЦКР)	None-50000	Нет	19.02.2024	СБЕР	https://hh.ru/vacancy/93450031
Аналитик отдела продаж маркетплейсов	30000-60000	Нет	18.02.2024	Евженко Виталий Николаевич	https://hh.ru/vacancy/93409243
Системный аналитик (ученик)	None	Нет	09.02.2024	Aston	https://hh.ru/vacancy/92927465
Аналитик	40000-None	Нет	12.02.2024	Вира-М	https://hh.ru/vacancy/93063521
Младший CRM-аналитик	25000-45000	Нет	12.02.2024	Make Rock	https://hh.ru/vacancy/93068022
Аналитик по корректности данных	None	Нет	09.02.2024	Черкизово, Группа предприятий	https://hh.ru/vacancy/92944277
Стажер-аналитик	None	Нет	08.02.2024	БФТ-Холдинг (Бюджетные и Финансовые Технологии)	https://hh.ru/vacancy/92892336
Аналитик-стажер (коммерческая аналитика/товародвижение)	None	Нет	08.02.2024	Мэлон Фэшн Груп	https://hh.ru/vacancy/92899998
Аналитик в retention	37000-45000	Нет	05.02.2024	Яндекс Команда для бизнеса	https://hh.ru/vacancy/92700661
Аналитик отдела продаж	None	Нет	01.03.2024	ДАЛИМО	https://hh.ru/vacancy/92776528
Аналитик-лингвист (скриптолог)	None	Нет	01.03.2024	KVINT	https://hh.ru/vacancy/90759082
Менеджер по клиентам | Менеджер аналитик онлайн-продуктов	45000-60000	Нет	03.03.2024	Смурфэпп	https://hh.ru/vacancy/93374391
Бизнес-аналитик по описанию процессов	None-120000	Нет	02.03.2024	UDP Auto	https://hh.ru/vacancy/93144962
Бизнес-аналитик 1С (стажер)	70000-80000	Нет	02.03.2024	Aston	https://hh.ru/vacancy/94136216
